kH,c
6.100000068545341492e-02,1.149023193359375000e+03
6.528461724519729614e-02,1.091572021484375000e+03
6.956923007965087891e-02,1.036993408203125000e+03
7.385385036468505859e-02,9.851461791992187500e+02
7.813846319913864136e-02,9.358918457031250000e+02
8.242307603359222412e-02,8.890995483398437500e+02
8.670769631862640381e-02,8.446472778320312500e+02
9.099230915307998657e-02,8.024179077148437500e+02
9.527692198753356934e-02,7.622999877929687500e+02
9.956154227256774902e-02,7.470540161132812500e+02
1.038461551070213318e-01,7.321129760742187500e+02
1.081307679414749146e-01,7.174707031250000000e+02
1.124153882265090942e-01,7.031212768554687500e+02
1.167000010609626770e-01,6.890588378906250000e+02
