kH,c
6.100000068545341492e-02,1.149021728515625000e+03
6.528461724519729614e-02,1.091572143554687500e+03
6.956923007965087891e-02,1.036993530273437500e+03
7.385385036468505859e-02,9.851464843750000000e+02
7.813846319913864136e-02,9.358921508789062500e+02
8.242307603359222412e-02,8.890975952148437500e+02
8.670769631862640381e-02,8.446452636718750000e+02
9.099230915307998657e-02,8.024159545898437500e+02
9.527692198753356934e-02,7.622952270507812500e+02
9.956154227256774902e-02,7.470493164062500000e+02
1.038461551070213318e-01,7.321083374023437500e+02
1.081307679414749146e-01,7.174661865234375000e+02
1.124153882265090942e-01,7.031168823242187500e+02
1.167000010609626770e-01,6.890545654296875000e+02
